391032 	 MISS 	 HIT 	 MISS
391033 	 HIT 	 MISS 	 MISS
391034 	 MISS 	 HIT 	 MISS
391035 	 MISS 	 HIT 	 MISS
391036 	 HIT 	 HIT 	 MISS
391037 	 HIT 	 HIT 	 MISS
391038 	 MISS 	 HIT 	 MISS
391039 	 MISS 	 HIT 	 MISS
391040 	 HIT 	 HIT 	 MISS
391041 	 MISS 	 HIT 	 MISS
391042 	 MISS 	 HIT 	 MISS
391043 	 MISS 	 HIT 	 HIT
391044 	 MISS 	 HIT 	 HIT
391045 	 MISS 	 HIT 	 MISS
391046 	 MISS 	 HIT 	 MISS
391047 	 HIT 	 HIT 	 MISS
391048 	 HIT 	 HIT 	 HIT
391049 	 MISS 	 HIT 	 MISS
391050 	 MISS 	 HIT 	 MISS
391051 	 MISS 	 HIT 	 MISS
391052 	 MISS 	 HIT 	 HIT
391053 	 MISS 	 HIT 	 MISS
391054 	 MISS 	 HIT 	 MISS
391055 	 HIT 	 HIT 	 MISS
391056 	 MISS 	 HIT 	 MISS
391057 	 MISS 	 HIT 	 MISS
391058 	 MISS 	 HIT 	 HIT
391059 	 MISS 	 HIT 	 HIT
391060 	 MISS 	 HIT 	 MISS
391061 	 MISS 	 HIT 	 MISS
391062 	 MISS 	 HIT 	 MISS
391063 	 HIT 	 HIT 	 MISS
391064 	 MISS 	 HIT 	 HIT
391065 	 MISS 	 HIT 	 MISS
391066 	 MISS 	 HIT 	 HIT
391067 	 MISS 	 HIT 	 HIT
391068 	 MISS 	 HIT 	 MISS
391069 	 MISS 	 HIT 	 MISS
391070 	 HIT 	 MISS 	 MISS
391071 	 MISS 	 HIT 	 MISS
391072 	 MISS 	 HIT 	 MISS
391073 	 MISS 	 HIT 	 HIT
391074 	 HIT 	 HIT 	 MISS
391075 	 MISS 	 HIT 	 MISS
391076 	 MISS 	 HIT 	 HIT
391077 	 MISS 	 HIT 	 HIT
391078 	 MISS 	 HIT 	 HIT
391079 	 MISS 	 HIT 	 MISS
391080 	 MISS 	 HIT 	 MISS
391081 	 HIT 	 MISS 	 MISS
391082 	 HIT 	 HIT 	 HIT
391083 	 MISS 	 HIT 	 MISS
391084 	 MISS 	 HIT 	 HIT
391085 	 HIT 	 MISS 	 MISS
391086 	 MISS 	 HIT 	 HIT
391087 	 MISS 	 HIT 	 MISS
391088 	 MISS 	 HIT 	 HIT
391089 	 MISS 	 HIT 	 HIT
391090 	 MISS 	 HIT 	 MISS
391091 	 MISS 	 HIT 	 MISS
391092 	 HIT 	 MISS 	 MISS
391093 	 MISS 	 HIT 	 HIT
391094 	 MISS 	 HIT 	 MISS
391095 	 MISS 	 HIT 	 HIT
391096 	 HIT 	 HIT 	 MISS
391097 	 MISS 	 HIT 	 MISS
391098 	 MISS 	 HIT 	 MISS
391099 	 MISS 	 MISS 	 MISS
391100 	 MISS 	 HIT 	 MISS
391101 	 MISS 	 HIT 	 MISS
391102 	 MISS 	 HIT 	 MISS
391103 	 HIT 	 MISS 	 MISS
391104 	 MISS 	 HIT 	 MISS
391105 	 MISS 	 MISS 	 MISS
391106 	 MISS 	 MISS 	 MISS
391107 	 MISS 	 HIT 	 MISS
391108 	 MISS 	 HIT 	 MISS
391109 	 MISS 	 HIT 	 MISS
391110 	 MISS 	 HIT 	 MISS
391111 	 MISS 	 HIT 	 HIT
391112 	 MISS 	 MISS 	 HIT
391113 	 MISS 	 HIT 	 MISS
391114 	 MISS 	 HIT 	 MISS
391115 	 MISS 	 HIT 	 MISS
391116 	 HIT 	 HIT 	 MISS
391117 	 MISS 	 HIT 	 MISS
391118 	 MISS 	 HIT 	 HIT
391119 	 HIT 	 MISS 	 MISS
391120 	 HIT 	 HIT 	 MISS
391121 	 MISS 	 HIT 	 MISS
391122 	 MISS 	 HIT 	 HIT
391123 	 HIT 	 HIT 	 MISS
391124 	 MISS 	 HIT 	 MISS
391125 	 MISS 	 HIT 	 MISS
391126 	 MISS 	 HIT 	 HIT
391127 	 MISS 	 HIT 	 HIT
391128 	 MISS 	 HIT 	 MISS
391129 	 MISS 	 HIT 	 MISS
391130 	 HIT 	 MISS 	 MISS
391131 	 MISS 	 HIT 	 MISS
391132 	 MISS 	 HIT 	 MISS
391133 	 MISS 	 HIT 	 HIT
391134 	 MISS 	 HIT 	 HIT
391135 	 MISS 	 HIT 	 MISS
391136 	 MISS 	 HIT 	 MISS
391137 	 HIT 	 MISS 	 MISS
391138 	 MISS 	 HIT 	 MISS
391139 	 MISS 	 HIT 	 MISS
391140 	 MISS 	 HIT 	 HIT
391141 	 HIT 	 MISS 	 MISS
391142 	 MISS 	 HIT 	 MISS
391143 	 MISS 	 HIT 	 MISS
391144 	 MISS 	 HIT 	 MISS
391145 	 HIT 	 HIT 	 MISS
391146 	 MISS 	 HIT 	 MISS
391147 	 MISS 	 HIT 	 MISS
391148 	 HIT 	 HIT 	 MISS
391149 	 MISS 	 HIT 	 MISS
391150 	 MISS 	 HIT 	 MISS
391151 	 MISS 	 HIT 	 MISS
391152 	 HIT 	 HIT 	 MISS
391153 	 MISS 	 HIT 	 MISS
391154 	 MISS 	 HIT 	 MISS
391155 	 MISS 	 HIT 	 MISS
391156 	 MISS 	 HIT 	 HIT
391157 	 MISS 	 HIT 	 MISS
391158 	 MISS 	 HIT 	 MISS
391159 	 HIT 	 HIT 	 MISS
391160 	 MISS 	 HIT 	 HIT
391161 	 MISS 	 HIT 	 MISS
391162 	 HIT 	 HIT 	 HIT
391163 	 HIT 	 HIT 	 MISS
391164 	 MISS 	 HIT 	 HIT
391165 	 HIT 	 HIT 	 HIT
391166 	 MISS 	 HIT 	 MISS
391167 	 MISS 	 HIT 	 MISS
391168 	 MISS 	 HIT 	 HIT
391169 	 MISS 	 HIT 	 HIT
391170 	 MISS 	 HIT 	 MISS
391171 	 MISS 	 HIT 	 MISS
391172 	 HIT 	 HIT 	 MISS
391173 	 HIT 	 HIT 	 MISS
391174 	 MISS 	 HIT 	 HIT
391175 	 MISS 	 HIT 	 MISS
391176 	 HIT 	 MISS 	 MISS
391177 	 HIT 	 HIT 	 MISS
391178 	 MISS 	 HIT 	 MISS
391179 	 MISS 	 HIT 	 HIT
391180 	 MISS 	 MISS 	 HIT
391181 	 MISS 	 HIT 	 MISS
391182 	 MISS 	 HIT 	 MISS
391183 	 HIT 	 HIT 	 MISS
391184 	 HIT 	 HIT 	 MISS
391185 	 MISS 	 HIT 	 MISS
391186 	 MISS 	 HIT 	 HIT
391187 	 MISS 	 MISS 	 HIT
391188 	 MISS 	 HIT 	 MISS
391189 	 MISS 	 HIT 	 MISS
391190 	 MISS 	 HIT 	 MISS
391191 	 HIT 	 HIT 	 MISS
391192 	 MISS 	 HIT 	 MISS
391193 	 MISS 	 HIT 	 MISS
391194 	 HIT 	 HIT 	 MISS
391195 	 HIT 	 HIT 	 MISS
391196 	 MISS 	 HIT 	 MISS
391197 	 MISS 	 HIT 	 MISS
391198 	 MISS 	 HIT 	 HIT
391199 	 MISS 	 HIT 	 HIT
391200 	 MISS 	 HIT 	 MISS
391201 	 MISS 	 HIT 	 MISS
391202 	 HIT 	 MISS 	 MISS
391203 	 MISS 	 HIT 	 HIT
391204 	 MISS 	 HIT 	 MISS
391205 	 MISS 	 HIT 	 HIT
391206 	 HIT 	 MISS 	 MISS
391207 	 MISS 	 HIT 	 MISS
391208 	 MISS 	 HIT 	 MISS
391209 	 MISS 	 HIT 	 HIT
391210 	 MISS 	 HIT 	 HIT
391211 	 MISS 	 HIT 	 MISS
391212 	 MISS 	 HIT 	 MISS
391213 	 HIT 	 HIT 	 MISS
391214 	 MISS 	 HIT 	 HIT
391215 	 MISS 	 HIT 	 MISS
391216 	 MISS 	 HIT 	 HIT
391217 	 MISS 	 HIT 	 HIT
391218 	 MISS 	 HIT 	 MISS
391219 	 MISS 	 HIT 	 MISS
391220 	 MISS 	 HIT 	 MISS
391221 	 HIT 	 HIT 	 MISS
391222 	 MISS 	 HIT 	 MISS
391223 	 MISS 	 HIT 	 MISS
391224 	 MISS 	 HIT 	 MISS
391225 	 MISS 	 HIT 	 HIT
391226 	 MISS 	 HIT 	 MISS
391227 	 MISS 	 HIT 	 MISS
391228 	 HIT 	 HIT 	 MISS
391229 	 MISS 	 HIT 	 MISS
391230 	 MISS 	 HIT 	 HIT
391231 	 MISS 	 HIT 	 MISS
391232 	 HIT 	 HIT 	 MISS
391233 	 MISS 	 HIT 	 MISS
391234 	 MISS 	 HIT 	 MISS
391235 	 HIT 	 HIT 	 MISS
391236 	 HIT 	 HIT 	 MISS
391237 	 MISS 	 HIT 	 MISS
391238 	 MISS 	 HIT 	 MISS
391239 	 HIT 	 MISS 	 MISS
391240 	 MISS 	 HIT 	 HIT
391241 	 MISS 	 HIT 	 MISS
391242 	 MISS 	 HIT 	 MISS
391243 	 HIT 	 HIT 	 MISS
391244 	 MISS 	 HIT 	 MISS
391245 	 MISS 	 HIT 	 MISS
391246 	 MISS 	 HIT 	 HIT
391247 	 MISS 	 HIT 	 HIT
391248 	 MISS 	 HIT 	 MISS
391249 	 MISS 	 HIT 	 MISS
391250 	 HIT 	 MISS 	 MISS
391251 	 HIT 	 HIT 	 MISS
391252 	 MISS 	 HIT 	 MISS
391253 	 MISS 	 HIT 	 HIT
391254 	 MISS 	 MISS 	 MISS
391255 	 MISS 	 HIT 	 MISS
391256 	 MISS 	 HIT 	 MISS
391257 	 HIT 	 HIT 	 MISS
391258 	 HIT 	 HIT 	 MISS
391259 	 MISS 	 HIT 	 HIT
391260 	 MISS 	 HIT 	 MISS
391261 	 MISS 	 HIT 	 HIT
391262 	 MISS 	 HIT 	 HIT
391263 	 MISS 	 HIT 	 MISS
391264 	 MISS 	 HIT 	 MISS
391265 	 HIT 	 HIT 	 MISS
391266 	 HIT 	 HIT 	 MISS
391267 	 MISS 	 HIT 	 MISS
391268 	 MISS 	 HIT 	 MISS
391269 	 HIT 	 HIT 	 MISS
391270 	 HIT 	 HIT 	 MISS
391271 	 MISS 	 HIT 	 MISS
391272 	 MISS 	 HIT 	 HIT
391273 	 HIT 	 MISS 	 MISS
391274 	 MISS 	 HIT 	 HIT
391275 	 MISS 	 HIT 	 MISS
391276 	 MISS 	 HIT 	 HIT
391277 	 MISS 	 HIT 	 HIT
391278 	 MISS 	 HIT 	 MISS
391279 	 MISS 	 HIT 	 MISS
391280 	 HIT 	 HIT 	 MISS
391281 	 HIT 	 HIT 	 MISS
391282 	 MISS 	 HIT 	 MISS
391283 	 MISS 	 HIT 	 MISS
391284 	 HIT 	 MISS 	 MISS
391285 	 MISS 	 HIT 	 MISS
391286 	 MISS 	 HIT 	 MISS
391287 	 MISS 	 HIT 	 HIT
391288 	 MISS 	 HIT 	 HIT
391289 	 MISS 	 HIT 	 MISS
391290 	 MISS 	 HIT 	 MISS
391291 	 HIT 	 HIT 	 MISS
391292 	 MISS 	 HIT 	 MISS
391293 	 MISS 	 HIT 	 MISS
391294 	 MISS 	 HIT 	 MISS
391295 	 HIT 	 MISS 	 MISS
391296 	 MISS 	 HIT 	 HIT
391297 	 MISS 	 HIT 	 MISS
391298 	 HIT 	 HIT 	 MISS
391299 	 HIT 	 HIT 	 MISS
391300 	 MISS 	 HIT 	 MISS
