390880 	 268 	 244 	 302
390881 	 250 	 252 	 248
390882 	 400 	 332 	 268
390883 	 74 	 248 	 250
390884 	 76 	 268 	 250
390885 	 228 	 76 	 250
390886 	 264 	 80 	 274
390887 	 266 	 76 	 274
390888 	 118 	 80 	 270
390889 	 76 	 264 	 248
390890 	 270 	 78 	 274
390891 	 268 	 80 	 274
390892 	 400 	 80 	 82
390893 	 266 	 244 	 252
390894 	 244 	 80 	 84
390895 	 268 	 78 	 276
390896 	 262 	 76 	 282
390897 	 76 	 78 	 276
390898 	 74 	 76 	 274
390899 	 270 	 74 	 1428
390900 	 262 	 78 	 274
390901 	 268 	 78 	 250
390902 	 76 	 80 	 276
390903 	 268 	 78 	 270
390904 	 268 	 78 	 278
390905 	 80 	 76 	 276
390906 	 76 	 76 	 272
390907 	 262 	 78 	 274
390908 	 264 	 76 	 274
390909 	 266 	 242 	 250
390910 	 1254 	 76 	 82
390911 	 268 	 76 	 276
390912 	 270 	 78 	 252
390913 	 74 	 76 	 270
390914 	 266 	 80 	 274
390915 	 270 	 78 	 270
390916 	 268 	 76 	 82
390917 	 238 	 76 	 82
390918 	 266 	 76 	 270
390919 	 266 	 76 	 270
390920 	 80 	 78 	 270
390921 	 652 	 76 	 270
390922 	 268 	 76 	 272
390923 	 246 	 76 	 82
390924 	 80 	 78 	 270
390925 	 266 	 78 	 272
390926 	 246 	 74 	 78
390927 	 140 	 76 	 82
390928 	 70 	 78 	 274
390929 	 260 	 78 	 274
390930 	 266 	 76 	 272
390931 	 78 	 76 	 80
390932 	 76 	 264 	 252
390933 	 264 	 76 	 272
390934 	 268 	 80 	 274
390935 	 268 	 82 	 82
390936 	 244 	 78 	 78
390937 	 266 	 76 	 274
390938 	 268 	 76 	 274
390939 	 78 	 76 	 276
390940 	 74 	 78 	 272
390941 	 268 	 78 	 270
390942 	 1102 	 74 	 80
390943 	 264 	 244 	 254
390944 	 264 	 76 	 80
390945 	 270 	 78 	 270
390946 	 266 	 76 	 276
390947 	 80 	 266 	 246
390948 	 268 	 80 	 274
390949 	 270 	 76 	 274
390950 	 262 	 80 	 80
390951 	 78 	 76 	 252
390952 	 270 	 76 	 80
390953 	 344 	 78 	 270
390954 	 268 	 76 	 80
390955 	 244 	 76 	 80
390956 	 266 	 76 	 272
390957 	 264 	 78 	 274
390958 	 78 	 74 	 268
390959 	 266 	 78 	 268
390960 	 268 	 76 	 268
390961 	 244 	 76 	 80
390962 	 78 	 76 	 274
390963 	 262 	 78 	 1190
390964 	 268 	 76 	 270
390965 	 264 	 76 	 80
390966 	 242 	 76 	 80
390967 	 266 	 74 	 282
390968 	 264 	 80 	 276
390969 	 74 	 76 	 274
390970 	 74 	 76 	 268
390971 	 264 	 74 	 80
390972 	 266 	 76 	 270
390973 	 268 	 76 	 274
390974 	 960 	 76 	 82
390975 	 272 	 80 	 276
390976 	 266 	 78 	 276
390977 	 78 	 76 	 272
390978 	 262 	 74 	 270
390979 	 268 	 76 	 278
390980 	 266 	 74 	 78
390981 	 266 	 74 	 82
390982 	 268 	 76 	 274
390983 	 266 	 80 	 274
390984 	 74 	 268 	 250
390985 	 242 	 74 	 82
390986 	 270 	 76 	 272
390987 	 74 	 76 	 82
390988 	 72 	 72 	 272
390989 	 264 	 76 	 80
390990 	 268 	 74 	 274
390991 	 264 	 74 	 274
390992 	 268 	 76 	 82
390993 	 268 	 78 	 272
390994 	 266 	 78 	 248
390995 	 78 	 76 	 1288
390996 	 262 	 74 	 272
390997 	 268 	 76 	 272
390998 	 246 	 74 	 82
390999 	 278 	 78 	 82
391000 	 264 	 76 	 274
391001 	 264 	 80 	 272
391002 	 76 	 76 	 274
391003 	 76 	 78 	 80
391004 	 270 	 76 	 274
391005 	 264 	 76 	 272
391006 	 74 	 80 	 550
391007 	 76 	 76 	 80
391008 	 262 	 82 	 270
391009 	 266 	 78 	 268
391010 	 264 	 76 	 270
391011 	 264 	 76 	 84
391012 	 266 	 76 	 272
391013 	 264 	 76 	 250
391014 	 76 	 76 	 274
391015 	 266 	 78 	 84
391016 	 268 	 80 	 272
391017 	 92 	 78 	 80
391018 	 74 	 76 	 272
391019 	 266 	 80 	 274
391020 	 264 	 74 	 274
391021 	 78 	 80 	 82
391022 	 70 	 74 	 270
391023 	 262 	 78 	 272
391024 	 266 	 80 	 272
391025 	 78 	 76 	 272
391026 	 266 	 80 	 268
391027 	 268 	 78 	 1152
391028 	 270 	 78 	 270
391029 	 74 	 78 	 274
391030 	 76 	 74 	 270
391031 	 266 	 78 	 272
391032 	 268 	 76 	 276
391033 	 74 	 266 	 248
391034 	 268 	 80 	 272
391035 	 264 	 76 	 270
391036 	 76 	 78 	 270
391037 	 72 	 76 	 274
391038 	 824 	 76 	 274
391039 	 262 	 76 	 270
