287752 	 MISS 	 MISS 	 MISS
287753 	 MISS 	 MISS 	 MISS
287754 	 MISS 	 MISS 	 MISS
287755 	 MISS 	 MISS 	 MISS
287756 	 MISS 	 MISS 	 MISS
287757 	 MISS 	 MISS 	 MISS
287758 	 MISS 	 MISS 	 MISS
287759 	 MISS 	 MISS 	 MISS
287760 	 MISS 	 MISS 	 MISS
287761 	 MISS 	 MISS 	 MISS
287762 	 MISS 	 MISS 	 MISS
287763 	 MISS 	 MISS 	 MISS
287764 	 MISS 	 MISS 	 MISS
287765 	 MISS 	 MISS 	 MISS
287766 	 MISS 	 MISS 	 MISS
287767 	 MISS 	 MISS 	 MISS
287768 	 MISS 	 MISS 	 MISS
287769 	 MISS 	 MISS 	 MISS
287770 	 HIT 	 MISS 	 MISS
287771 	 MISS 	 HIT 	 MISS
287772 	 MISS 	 HIT 	 MISS
287773 	 MISS 	 HIT 	 MISS
287774 	 MISS 	 MISS 	 MISS
287775 	 MISS 	 MISS 	 MISS
287776 	 MISS 	 MISS 	 MISS
287777 	 MISS 	 MISS 	 MISS
287778 	 MISS 	 MISS 	 MISS
287779 	 MISS 	 MISS 	 MISS
287780 	 MISS 	 MISS 	 MISS
287781 	 MISS 	 MISS 	 MISS
287782 	 MISS 	 MISS 	 MISS
287783 	 MISS 	 MISS 	 MISS
287784 	 MISS 	 MISS 	 MISS
287785 	 MISS 	 MISS 	 MISS
287786 	 MISS 	 MISS 	 MISS
287787 	 MISS 	 MISS 	 MISS
287788 	 MISS 	 MISS 	 MISS
287789 	 MISS 	 MISS 	 MISS
287790 	 MISS 	 MISS 	 MISS
287791 	 MISS 	 MISS 	 MISS
287792 	 MISS 	 MISS 	 MISS
287793 	 MISS 	 MISS 	 MISS
287794 	 MISS 	 MISS 	 MISS
287795 	 MISS 	 MISS 	 MISS
287796 	 MISS 	 MISS 	 MISS
287797 	 MISS 	 MISS 	 MISS
287798 	 MISS 	 MISS 	 MISS
287799 	 MISS 	 MISS 	 MISS
287800 	 MISS 	 MISS 	 MISS
287801 	 MISS 	 MISS 	 MISS
287802 	 MISS 	 MISS 	 MISS
287803 	 MISS 	 MISS 	 MISS
287804 	 MISS 	 MISS 	 MISS
287805 	 MISS 	 MISS 	 MISS
287806 	 MISS 	 MISS 	 MISS
287807 	 MISS 	 MISS 	 MISS
287808 	 MISS 	 MISS 	 MISS
287809 	 MISS 	 MISS 	 MISS
287810 	 MISS 	 MISS 	 MISS
287811 	 MISS 	 MISS 	 MISS
287812 	 MISS 	 MISS 	 MISS
287813 	 MISS 	 MISS 	 MISS
287814 	 MISS 	 MISS 	 MISS
287815 	 MISS 	 MISS 	 MISS
287816 	 MISS 	 MISS 	 MISS
287817 	 MISS 	 MISS 	 MISS
287818 	 MISS 	 MISS 	 MISS
287819 	 MISS 	 MISS 	 MISS
287820 	 MISS 	 MISS 	 MISS
287821 	 MISS 	 MISS 	 MISS
287822 	 MISS 	 MISS 	 MISS
287823 	 MISS 	 MISS 	 MISS
287824 	 MISS 	 MISS 	 MISS
287825 	 MISS 	 MISS 	 MISS
287826 	 MISS 	 MISS 	 MISS
287827 	 MISS 	 MISS 	 MISS
287828 	 MISS 	 MISS 	 MISS
287829 	 MISS 	 MISS 	 MISS
287830 	 MISS 	 MISS 	 MISS
287831 	 MISS 	 MISS 	 MISS
287832 	 MISS 	 MISS 	 MISS
287833 	 MISS 	 MISS 	 MISS
287834 	 MISS 	 MISS 	 MISS
287835 	 MISS 	 MISS 	 MISS
287836 	 MISS 	 MISS 	 MISS
287837 	 MISS 	 MISS 	 MISS
287838 	 MISS 	 MISS 	 MISS
287839 	 MISS 	 MISS 	 MISS
287840 	 MISS 	 MISS 	 MISS
287841 	 MISS 	 MISS 	 MISS
287842 	 MISS 	 MISS 	 MISS
287843 	 MISS 	 MISS 	 MISS
287844 	 MISS 	 MISS 	 MISS
287845 	 MISS 	 MISS 	 MISS
287846 	 MISS 	 MISS 	 MISS
287847 	 MISS 	 MISS 	 MISS
287848 	 HIT 	 MISS 	 MISS
287849 	 HIT 	 HIT 	 MISS
287850 	 MISS 	 HIT 	 MISS
287851 	 MISS 	 HIT 	 MISS
287852 	 MISS 	 MISS 	 MISS
287853 	 MISS 	 MISS 	 MISS
287854 	 MISS 	 MISS 	 MISS
287855 	 MISS 	 MISS 	 MISS
287856 	 MISS 	 MISS 	 MISS
287857 	 MISS 	 MISS 	 MISS
287858 	 MISS 	 MISS 	 MISS
287859 	 MISS 	 MISS 	 MISS
287860 	 MISS 	 MISS 	 MISS
287861 	 MISS 	 MISS 	 MISS
287862 	 MISS 	 MISS 	 MISS
287863 	 MISS 	 MISS 	 MISS
287864 	 MISS 	 MISS 	 MISS
287865 	 MISS 	 MISS 	 MISS
287866 	 MISS 	 MISS 	 MISS
287867 	 MISS 	 MISS 	 MISS
287868 	 MISS 	 MISS 	 MISS
287869 	 MISS 	 MISS 	 MISS
287870 	 MISS 	 MISS 	 MISS
287871 	 MISS 	 MISS 	 MISS
287872 	 MISS 	 MISS 	 MISS
287873 	 MISS 	 MISS 	 MISS
287874 	 MISS 	 MISS 	 MISS
287875 	 MISS 	 MISS 	 MISS
287876 	 MISS 	 MISS 	 MISS
287877 	 MISS 	 MISS 	 MISS
287878 	 MISS 	 MISS 	 MISS
287879 	 MISS 	 MISS 	 MISS
287880 	 MISS 	 MISS 	 MISS
287881 	 MISS 	 MISS 	 MISS
287882 	 MISS 	 MISS 	 MISS
287883 	 MISS 	 MISS 	 MISS
287884 	 MISS 	 MISS 	 MISS
287885 	 MISS 	 MISS 	 MISS
287886 	 MISS 	 MISS 	 MISS
287887 	 MISS 	 MISS 	 MISS
287888 	 MISS 	 MISS 	 MISS
287889 	 MISS 	 MISS 	 MISS
287890 	 MISS 	 MISS 	 MISS
287891 	 MISS 	 MISS 	 MISS
287892 	 MISS 	 MISS 	 MISS
287893 	 MISS 	 MISS 	 MISS
287894 	 MISS 	 MISS 	 MISS
287895 	 MISS 	 MISS 	 MISS
287896 	 MISS 	 MISS 	 MISS
287897 	 MISS 	 MISS 	 MISS
287898 	 MISS 	 MISS 	 MISS
287899 	 MISS 	 MISS 	 MISS
287900 	 MISS 	 MISS 	 MISS
287901 	 MISS 	 MISS 	 MISS
287902 	 MISS 	 MISS 	 MISS
287903 	 MISS 	 MISS 	 MISS
287904 	 MISS 	 MISS 	 MISS
287905 	 MISS 	 MISS 	 MISS
287906 	 MISS 	 MISS 	 MISS
287907 	 MISS 	 MISS 	 MISS
287908 	 MISS 	 MISS 	 MISS
287909 	 MISS 	 MISS 	 MISS
287910 	 MISS 	 MISS 	 MISS
287911 	 MISS 	 MISS 	 MISS
287912 	 MISS 	 MISS 	 MISS
287913 	 MISS 	 MISS 	 MISS
287914 	 MISS 	 MISS 	 MISS
287915 	 MISS 	 MISS 	 MISS
287916 	 MISS 	 MISS 	 MISS
287917 	 MISS 	 MISS 	 MISS
287918 	 MISS 	 MISS 	 MISS
287919 	 MISS 	 MISS 	 MISS
287920 	 MISS 	 MISS 	 MISS
287921 	 MISS 	 MISS 	 MISS
287922 	 MISS 	 MISS 	 MISS
287923 	 MISS 	 MISS 	 MISS
287924 	 MISS 	 MISS 	 MISS
287925 	 MISS 	 MISS 	 MISS
287926 	 MISS 	 MISS 	 MISS
287927 	 HIT 	 HIT 	 MISS
287928 	 MISS 	 HIT 	 MISS
287929 	 MISS 	 HIT 	 MISS
287930 	 MISS 	 HIT 	 HIT
287931 	 MISS 	 MISS 	 HIT
287932 	 MISS 	 HIT 	 MISS
287933 	 MISS 	 HIT 	 MISS
287934 	 MISS 	 HIT 	 MISS
287935 	 MISS 	 MISS 	 MISS
287936 	 MISS 	 MISS 	 MISS
287937 	 MISS 	 MISS 	 MISS
287938 	 MISS 	 MISS 	 MISS
287939 	 MISS 	 MISS 	 MISS
287940 	 MISS 	 MISS 	 MISS
287941 	 MISS 	 MISS 	 MISS
287942 	 MISS 	 MISS 	 MISS
287943 	 MISS 	 MISS 	 MISS
287944 	 MISS 	 MISS 	 MISS
287945 	 MISS 	 MISS 	 MISS
287946 	 MISS 	 MISS 	 MISS
287947 	 MISS 	 MISS 	 MISS
287948 	 MISS 	 MISS 	 MISS
287949 	 MISS 	 MISS 	 MISS
287950 	 MISS 	 MISS 	 MISS
287951 	 MISS 	 MISS 	 MISS
287952 	 MISS 	 MISS 	 MISS
287953 	 MISS 	 MISS 	 MISS
287954 	 MISS 	 MISS 	 MISS
287955 	 MISS 	 MISS 	 MISS
287956 	 MISS 	 MISS 	 MISS
287957 	 MISS 	 MISS 	 MISS
287958 	 MISS 	 MISS 	 MISS
287959 	 MISS 	 MISS 	 MISS
287960 	 MISS 	 MISS 	 MISS
287961 	 MISS 	 MISS 	 MISS
287962 	 MISS 	 MISS 	 MISS
287963 	 MISS 	 MISS 	 MISS
287964 	 MISS 	 MISS 	 MISS
287965 	 MISS 	 MISS 	 MISS
287966 	 MISS 	 MISS 	 MISS
287967 	 MISS 	 MISS 	 MISS
287968 	 MISS 	 MISS 	 MISS
287969 	 MISS 	 MISS 	 MISS
287970 	 MISS 	 MISS 	 MISS
287971 	 MISS 	 MISS 	 MISS
287972 	 MISS 	 MISS 	 MISS
287973 	 MISS 	 MISS 	 MISS
287974 	 MISS 	 MISS 	 MISS
287975 	 MISS 	 MISS 	 MISS
287976 	 MISS 	 MISS 	 MISS
287977 	 MISS 	 MISS 	 MISS
287978 	 MISS 	 MISS 	 MISS
287979 	 MISS 	 MISS 	 MISS
287980 	 MISS 	 MISS 	 MISS
287981 	 MISS 	 MISS 	 MISS
287982 	 MISS 	 MISS 	 MISS
287983 	 MISS 	 MISS 	 MISS
287984 	 MISS 	 MISS 	 MISS
287985 	 MISS 	 MISS 	 MISS
