slot 	 sqr 	 mod 	 mul
287811 	 264 	 244 	 246
287812 	 262 	 1408 	 244
287813 	 264 	 240 	 248
287814 	 260 	 242 	 246
287815 	 268 	 242 	 246
287816 	 266 	 242 	 246
287817 	 264 	 238 	 248
287818 	 262 	 240 	 246
287819 	 264 	 238 	 248
287820 	 262 	 242 	 252
287821 	 264 	 242 	 242
287822 	 260 	 246 	 246
287823 	 662 	 244 	 246
287824 	 258 	 244 	 248
287825 	 260 	 240 	 242
287826 	 266 	 246 	 248
287827 	 266 	 246 	 246
287828 	 266 	 244 	 250
287829 	 266 	 242 	 248
287830 	 268 	 242 	 246
287831 	 262 	 242 	 250
287832 	 264 	 244 	 248
287833 	 260 	 242 	 244
287834 	 266 	 246 	 246
287835 	 264 	 244 	 246
287836 	 264 	 240 	 250
287837 	 264 	 242 	 250
287838 	 268 	 244 	 246
287839 	 264 	 242 	 248
287840 	 264 	 240 	 246
287841 	 266 	 244 	 240
287842 	 266 	 244 	 246
287843 	 266 	 240 	 246
287844 	 1462 	 242 	 246
287845 	 242 	 244 	 244
287846 	 264 	 248 	 248
287847 	 266 	 242 	 248
287848 	 74 	 266 	 248
287849 	 72 	 74 	 270
287850 	 262 	 74 	 270
287851 	 264 	 76 	 270
287852 	 268 	 242 	 244
287853 	 260 	 240 	 252
287854 	 266 	 240 	 242
287855 	 582 	 242 	 246
287856 	 262 	 240 	 244
287857 	 268 	 240 	 248
287858 	 262 	 242 	 246
287859 	 264 	 246 	 246
287860 	 260 	 242 	 246
287861 	 264 	 244 	 246
287862 	 264 	 240 	 246
287863 	 264 	 238 	 248
287864 	 260 	 240 	 246
287865 	 262 	 244 	 1388
287866 	 264 	 242 	 246
287867 	 260 	 238 	 248
287868 	 262 	 242 	 246
287869 	 270 	 244 	 250
287870 	 264 	 238 	 244
287871 	 266 	 242 	 244
287872 	 266 	 248 	 248
287873 	 266 	 242 	 244
287874 	 266 	 244 	 250
287875 	 264 	 248 	 246
287876 	 1316 	 238 	 248
287877 	 258 	 244 	 248
287878 	 266 	 242 	 248
287879 	 264 	 240 	 248
287880 	 264 	 242 	 248
287881 	 266 	 244 	 250
287882 	 268 	 238 	 248
287883 	 266 	 242 	 250
287884 	 266 	 246 	 246
287885 	 264 	 242 	 248
287886 	 262 	 244 	 246
287887 	 506 	 244 	 244
287888 	 266 	 238 	 246
287889 	 262 	 242 	 246
287890 	 260 	 242 	 250
287891 	 266 	 242 	 250
287892 	 266 	 248 	 248
287893 	 260 	 238 	 244
287894 	 264 	 244 	 244
287895 	 264 	 242 	 250
287896 	 264 	 242 	 246
287897 	 264 	 240 	 1390
287898 	 258 	 242 	 246
287899 	 262 	 246 	 246
287900 	 262 	 242 	 244
287901 	 264 	 238 	 248
287902 	 266 	 240 	 248
287903 	 262 	 242 	 246
287904 	 266 	 240 	 250
287905 	 264 	 240 	 244
287906 	 266 	 246 	 248
287907 	 264 	 238 	 250
287908 	 1228 	 238 	 250
287909 	 260 	 246 	 244
287910 	 266 	 244 	 242
287911 	 268 	 244 	 246
287912 	 266 	 244 	 250
287913 	 258 	 238 	 244
287914 	 262 	 240 	 244
287915 	 262 	 242 	 248
287916 	 266 	 248 	 246
287917 	 264 	 240 	 248
287918 	 264 	 244 	 246
287919 	 342 	 240 	 248
287920 	 264 	 238 	 250
287921 	 264 	 242 	 246
287922 	 266 	 244 	 246
287923 	 264 	 242 	 248
287924 	 238 	 242 	 250
287925 	 266 	 240 	 248
287926 	 242 	 242 	 246
287927 	 74 	 76 	 270
287928 	 262 	 80 	 270
287929 	 266 	 76 	 1372
287930 	 240 	 78 	 82
287931 	 260 	 244 	 80
287932 	 260 	 76 	 266
287933 	 264 	 78 	 274
287934 	 262 	 76 	 268
287935 	 264 	 240 	 244
287936 	 258 	 238 	 244
287937 	 266 	 248 	 248
287938 	 262 	 238 	 248
287939 	 264 	 238 	 246
287940 	 1140 	 244 	 244
287941 	 268 	 240 	 244
287942 	 258 	 246 	 246
287943 	 262 	 246 	 244
287944 	 266 	 244 	 242
287945 	 264 	 244 	 246
287946 	 264 	 242 	 244
287947 	 262 	 238 	 246
287948 	 262 	 242 	 246
287949 	 266 	 240 	 244
287950 	 262 	 238 	 250
287951 	 254 	 238 	 248
287952 	 266 	 242 	 246
287953 	 262 	 242 	 248
287954 	 258 	 244 	 250
287955 	 264 	 240 	 250
287956 	 264 	 240 	 244
287957 	 260 	 244 	 250
287958 	 266 	 246 	 250
287959 	 262 	 242 	 250
287960 	 264 	 242 	 244
287961 	 266 	 1450 	 246
287962 	 240 	 244 	 246
287963 	 264 	 242 	 244
287964 	 264 	 242 	 248
287965 	 264 	 242 	 250
287966 	 266 	 242 	 248
287967 	 262 	 244 	 246
287968 	 266 	 240 	 248
287969 	 266 	 244 	 246
287970 	 260 	 246 	 248
287971 	 260 	 242 	 248
287972 	 1032 	 244 	 248
287973 	 266 	 240 	 244
287974 	 258 	 242 	 246
287975 	 262 	 244 	 246
287976 	 262 	 238 	 244
287977 	 264 	 242 	 246
287978 	 260 	 240 	 244
287979 	 260 	 240 	 242
287980 	 266 	 244 	 250
287981 	 262 	 238 	 244
287982 	 268 	 242 	 248
287983 	 262 	 242 	 242
287984 	 262 	 238 	 246
287985 	 266 	 244 	 246
287986 	 262 	 242 	 246
287987 	 266 	 246 	 250
287988 	 264 	 240 	 250
287989 	 264 	 242 	 242
287990 	 262 	 240 	 246
287991 	 264 	 240 	 248
287992 	 260 	 244 	 246
287993 	 264 	 1408 	 250
287994 	 238 	 238 	 250
287995 	 266 	 242 	 246
287996 	 264 	 244 	 246
287997 	 268 	 240 	 242
287998 	 268 	 240 	 246
287999 	 264 	 242 	 244
288000 	 264 	 246 	 248
288001 	 264 	 248 	 252
288002 	 266 	 244 	 248
288003 	 264 	 246 	 248
288004 	 910 	 242 	 246
288005 	 264 	 240 	 244
288006 	 262 	 242 	 242
288007 	 262 	 242 	 248
288008 	 264 	 240 	 248
288009 	 72 	 266 	 246
288010 	 72 	 76 	 272
288011 	 260 	 78 	 272
288012 	 266 	 80 	 270
288013 	 264 	 210 	 80
288014 	 272 	 84 	 272
288015 	 262 	 72 	 264
288016 	 260 	 74 	 268
288017 	 264 	 76 	 266
288018 	 266 	 242 	 248
288019 	 262 	 246 	 250
288020 	 262 	 240 	 242
288021 	 264 	 1410 	 242
288022 	 260 	 242 	 250
288023 	 266 	 244 	 250
288024 	 264 	 244 	 242
288025 	 266 	 244 	 246
288026 	 260 	 242 	 246
288027 	 266 	 240 	 248
288028 	 262 	 242 	 246
288029 	 268 	 240 	 250
288030 	 266 	 242 	 244
288031 	 268 	 240 	 248
288032 	 826 	 242 	 246
288033 	 262 	 240 	 246
288034 	 268 	 240 	 250
288035 	 266 	 240 	 244
288036 	 260 	 242 	 248
288037 	 264 	 244 	 246
288038 	 262 	 244 	 250
288039 	 262 	 242 	 248
288040 	 266 	 240 	 244
288041 	 262 	 238 	 244
288042 	 264 	 240 	 244
288043 	 268 	 246 	 250
288044 	 262 	 240 	 250
288045 	 264 	 242 	 244
288046 	 266 	 242 	 248
288047 	 268 	 246 	 244
288048 	 242 	 274 	 256
288049 	 262 	 240 	 248
288050 	 264 	 244 	 248
288051 	 266 	 246 	 248
288052 	 260 	 250 	 248
288053 	 266 	 1416 	 250
288054 	 242 	 244 	 250
288055 	 264 	 242 	 248
288056 	 266 	 242 	 244
288057 	 266 	 244 	 250
288058 	 266 	 244 	 248
288059 	 266 	 242 	 250
288060 	 260 	 240 	 244
288061 	 268 	 244 	 250
288062 	 264 	 242 	 248
288063 	 258 	 240 	 244
288064 	 748 	 242 	 248
288065 	 264 	 240 	 246
288066 	 264 	 238 	 244
288067 	 262 	 240 	 250
288068 	 266 	 240 	 244
288069 	 260 	 244 	 244
288070 	 262 	 240 	 244
288071 	 268 	 240 	 248
288072 	 262 	 242 	 246
288073 	 262 	 244 	 246
288074 	 262 	 244 	 246
288075 	 262 	 244 	 246
288076 	 266 	 242 	 248
288077 	 262 	 240 	 250
288078 	 260 	 240 	 248
288079 	 266 	 244 	 246
288080 	 264 	 240 	 250
288081 	 262 	 242 	 250
288082 	 258 	 240 	 248
288083 	 264 	 244 	 242
288084 	 262 	 236 	 244
288085 	 1462 	 244 	 248
288086 	 242 	 240 	 242
288087 	 266 	 242 	 248
288088 	 260 	 242 	 246
288089 	 264 	 244 	 248
288090 	 260 	 244 	 252
288091 	 266 	 246 	 246
288092 	 266 	 246 	 246
288093 	 74 	 76 	 268
288094 	 262 	 72 	 266
288095 	 264 	 76 	 272
288096 	 602 	 242 	 246
288097 	 262 	 242 	 246
288098 	 266 	 238 	 248
288099 	 264 	 242 	 246
288100 	 266 	 244 	 250
288101 	 264 	 246 	 248
288102 	 266 	 242 	 250
288103 	 266 	 246 	 250
288104 	 264 	 242 	 244
288105 	 260 	 240 	 250
288106 	 264 	 242 	 1432
288107 	 236 	 242 	 248
288108 	 266 	 242 	 244
288109 	 266 	 246 	 250
288110 	 268 	 242 	 248
288111 	 262 	 242 	 246
288112 	 264 	 248 	 244
288113 	 262 	 242 	 246
288114 	 264 	 240 	 244
288115 	 260 	 238 	 246
288116 	 268 	 240 	 246
288117 	 1386 	 244 	 244
288118 	 264 	 240 	 250
288119 	 262 	 244 	 246
288120 	 268 	 240 	 250
288121 	 266 	 242 	 248
288122 	 266 	 240 	 248
288123 	 262 	 242 	 246
288124 	 268 	 238 	 244
288125 	 268 	 240 	 244
288126 	 266 	 244 	 246
288127 	 264 	 242 	 248
288128 	 452 	 238 	 244
288129 	 268 	 246 	 248
288130 	 262 	 238 	 244
288131 	 268 	 244 	 250
288132 	 260 	 244 	 248
288133 	 266 	 242 	 250
288134 	 266 	 244 	 248
288135 	 262 	 244 	 248
288136 	 260 	 240 	 248
288137 	 264 	 244 	 248
288138 	 264 	 244 	 1398
288139 	 262 	 246 	 248
288140 	 262 	 240 	 246
288141 	 260 	 246 	 246
288142 	 264 	 248 	 250
288143 	 262 	 240 	 248
288144 	 266 	 244 	 248
288145 	 266 	 242 	 246
288146 	 262 	 244 	 244
288147 	 264 	 248 	 248
288148 	 264 	 242 	 246
288149 	 1302 	 244 	 246
288150 	 264 	 246 	 250
288151 	 266 	 242 	 246
288152 	 264 	 242 	 248
288153 	 258 	 240 	 248
288154 	 262 	 246 	 250
288155 	 268 	 240 	 244
288156 	 262 	 240 	 246
288157 	 264 	 244 	 246
288158 	 268 	 240 	 244
288159 	 260 	 244 	 246
288160 	 396 	 240 	 248
288161 	 264 	 238 	 246
288162 	 260 	 244 	 244
288163 	 266 	 240 	 242
288164 	 266 	 240 	 248
288165 	 264 	 238 	 248
288166 	 264 	 242 	 248
288167 	 260 	 242 	 250
288168 	 264 	 242 	 246
288169 	 266 	 244 	 250
288170 	 262 	 242 	 248
288171 	 76 	 76 	 268
288172 	 260 	 74 	 266
288173 	 268 	 76 	 268
288174 	 260 	 78 	 272
288175 	 266 	 244 	 246
288176 	 262 	 240 	 250
288177 	 268 	 244 	 246
288178 	 264 	 238 	 246
288179 	 264 	 240 	 246
288180 	 266 	 242 	 244
288181 	 1160 	 242 	 246
288182 	 260 	 244 	 248
288183 	 262 	 242 	 248
288184 	 266 	 242 	 246
288185 	 262 	 244 	 246
288186 	 264 	 240 	 246
288187 	 266 	 244 	 248
288188 	 264 	 242 	 244
288189 	 262 	 240 	 248
288190 	 266 	 244 	 248
288191 	 266 	 244 	 248
288192 	 302 	 244 	 246
288193 	 262 	 242 	 246
288194 	 264 	 246 	 244
288195 	 262 	 242 	 246
288196 	 264 	 242 	 246
288197 	 264 	 242 	 246
288198 	 262 	 242 	 250
288199 	 264 	 244 	 244
288200 	 262 	 244 	 242
288201 	 266 	 240 	 244
288202 	 262 	 238 	 1394
288203 	 260 	 242 	 244
288204 	 262 	 244 	 246
288205 	 264 	 240 	 242
288206 	 264 	 244 	 244
288207 	 266 	 240 	 250
288208 	 264 	 238 	 250
288209 	 264 	 242 	 250
288210 	 262 	 242 	 244
288211 	 260 	 238 	 248
288212 	 264 	 242 	 246
288213 	 1024 	 240 	 250
288214 	 266 	 244 	 246
288215 	 262 	 238 	 244
288216 	 260 	 238 	 244
288217 	 268 	 244 	 250
288218 	 266 	 244 	 248
288219 	 266 	 244 	 250
288220 	 266 	 246 	 248
288221 	 262 	 242 	 248
288222 	 264 	 246 	 250
288223 	 266 	 242 	 250
288224 	 266 	 240 	 248
288225 	 264 	 246 	 246
288226 	 262 	 242 	 248
288227 	 266 	 242 	 250
288228 	 262 	 242 	 248
288229 	 266 	 244 	 250
288230 	 264 	 246 	 250
288231 	 268 	 242 	 244
288232 	 260 	 242 	 246
288233 	 264 	 242 	 244
288234 	 266 	 1424 	 244
288235 	 240 	 240 	 244
288236 	 268 	 248 	 248
288237 	 266 	 240 	 246
288238 	 262 	 238 	 244
288239 	 266 	 244 	 246
288240 	 264 	 244 	 246
288241 	 266 	 244 	 246
288242 	 268 	 240 	 244
288243 	 264 	 246 	 246
288244 	 258 	 244 	 248
288245 	 976 	 240 	 248
