slot 	 sqr 	 mod 	 mul
307185 	 258 	 238 	 244
307186 	 266 	 244 	 248
307187 	 260 	 242 	 246
307188 	 262 	 242 	 244
307189 	 264 	 238 	 244
307190 	 346 	 238 	 240
307191 	 258 	 240 	 246
307192 	 258 	 238 	 244
307193 	 262 	 238 	 242
307194 	 264 	 240 	 244
307195 	 262 	 240 	 246
307196 	 262 	 272 	 276
307197 	 270 	 250 	 242
307198 	 260 	 240 	 246
307199 	 258 	 242 	 244
307200 	 260 	 244 	 244
307201 	 264 	 236 	 246
307202 	 258 	 240 	 252
307203 	 260 	 236 	 246
307204 	 1030 	 240 	 246
307205 	 258 	 240 	 244
307206 	 256 	 242 	 246
307207 	 260 	 238 	 246
307208 	 262 	 240 	 246
307209 	 258 	 236 	 244
307210 	 262 	 240 	 244
307211 	 266 	 244 	 250
307212 	 260 	 240 	 246
307213 	 264 	 236 	 246
307214 	 262 	 244 	 242
307215 	 260 	 236 	 248
307216 	 264 	 244 	 244
307217 	 266 	 242 	 248
307218 	 260 	 240 	 248
307219 	 260 	 244 	 244
307220 	 260 	 236 	 248
307221 	 262 	 238 	 248
307222 	 268 	 242 	 244
307223 	 260 	 240 	 248
307224 	 260 	 240 	 246
307225 	 260 	 1456 	 246
307226 	 240 	 238 	 244
307227 	 264 	 240 	 246
307228 	 262 	 238 	 240
307229 	 260 	 238 	 244
307230 	 260 	 240 	 242
307231 	 260 	 244 	 242
307232 	 260 	 240 	 244
307233 	 262 	 242 	 246
307234 	 258 	 238 	 246
307235 	 264 	 240 	 246
307236 	 988 	 244 	 244
307237 	 258 	 244 	 242
307238 	 258 	 240 	 240
307239 	 238 	 242 	 242
307240 	 260 	 240 	 242
307241 	 72 	 74 	 266
307242 	 260 	 72 	 266
307243 	 264 	 74 	 266
307244 	 264 	 162 	 78
307245 	 262 	 72 	 266
307246 	 260 	 72 	 268
307247 	 260 	 74 	 268
307248 	 262 	 240 	 244
307249 	 260 	 238 	 244
307250 	 262 	 238 	 242
307251 	 262 	 240 	 242
307252 	 260 	 242 	 244
307253 	 264 	 244 	 248
307254 	 264 	 242 	 246
307255 	 258 	 234 	 246
307256 	 264 	 244 	 246
307257 	 262 	 1418 	 244
307258 	 264 	 240 	 248
307259 	 260 	 242 	 248
307260 	 262 	 244 	 248
307261 	 266 	 240 	 248
307262 	 260 	 240 	 242
307263 	 262 	 238 	 244
307264 	 264 	 242 	 248
307265 	 264 	 242 	 242
307266 	 256 	 242 	 246
307267 	 256 	 238 	 246
307268 	 904 	 238 	 248
307269 	 262 	 242 	 244
307270 	 258 	 238 	 244
307271 	 262 	 240 	 248
307272 	 260 	 240 	 244
307273 	 260 	 240 	 242
307274 	 258 	 240 	 242
307275 	 258 	 238 	 242
307276 	 262 	 242 	 244
307277 	 262 	 240 	 244
307278 	 260 	 238 	 248
307279 	 262 	 238 	 246
307280 	 264 	 242 	 244
307281 	 262 	 242 	 248
307282 	 260 	 238 	 244
307283 	 262 	 236 	 244
307284 	 258 	 236 	 242
307285 	 260 	 238 	 244
307286 	 262 	 240 	 248
307287 	 260 	 238 	 244
307288 	 262 	 240 	 248
307289 	 260 	 1412 	 244
307290 	 264 	 240 	 246
307291 	 260 	 240 	 244
307292 	 264 	 238 	 242
307293 	 258 	 238 	 246
307294 	 262 	 240 	 246
307295 	 264 	 244 	 246
307296 	 262 	 240 	 246
307297 	 264 	 236 	 244
307298 	 268 	 240 	 244
307299 	 262 	 240 	 246
307300 	 756 	 240 	 248
307301 	 266 	 242 	 248
307302 	 264 	 240 	 246
307303 	 260 	 242 	 248
307304 	 266 	 236 	 246
307305 	 258 	 238 	 246
307306 	 264 	 244 	 248
307307 	 264 	 242 	 244
307308 	 260 	 242 	 246
307309 	 264 	 244 	 246
307310 	 260 	 242 	 248
307311 	 256 	 242 	 248
307312 	 260 	 240 	 248
307313 	 262 	 240 	 244
307314 	 256 	 242 	 244
307315 	 262 	 240 	 246
307316 	 258 	 242 	 244
307317 	 264 	 242 	 248
307318 	 260 	 240 	 246
307319 	 260 	 238 	 250
307320 	 262 	 258 	 240
307321 	 256 	 1412 	 246
307322 	 74 	 262 	 246
307323 	 258 	 74 	 266
307324 	 258 	 76 	 268
307325 	 266 	 74 	 266
307326 	 264 	 74 	 78
307327 	 262 	 72 	 264
307328 	 258 	 74 	 268
307329 	 260 	 240 	 244
307330 	 258 	 246 	 242
307331 	 262 	 240 	 246
307332 	 648 	 244 	 248
307333 	 260 	 236 	 248
307334 	 262 	 238 	 242
307335 	 262 	 244 	 248
307336 	 266 	 240 	 244
307337 	 260 	 236 	 246
307338 	 264 	 238 	 242
307339 	 258 	 244 	 248
307340 	 266 	 246 	 250
307341 	 262 	 242 	 244
307342 	 260 	 240 	 1470
307343 	 244 	 242 	 244
307344 	 262 	 238 	 244
307345 	 260 	 240 	 248
307346 	 262 	 242 	 242
307347 	 258 	 238 	 248
307348 	 262 	 240 	 248
307349 	 262 	 238 	 242
307350 	 258 	 240 	 244
307351 	 264 	 242 	 242
307352 	 262 	 240 	 244
307353 	 1468 	 240 	 246
307354 	 242 	 240 	 246
307355 	 262 	 240 	 246
307356 	 262 	 244 	 244
307357 	 262 	 238 	 242
307358 	 260 	 242 	 244
307359 	 258 	 240 	 244
307360 	 262 	 238 	 246
307361 	 260 	 242 	 244
307362 	 260 	 242 	 242
307363 	 260 	 238 	 248
307364 	 588 	 238 	 246
307365 	 262 	 242 	 248
307366 	 262 	 240 	 246
307367 	 268 	 240 	 244
307368 	 260 	 236 	 248
307369 	 258 	 238 	 242
307370 	 264 	 240 	 244
307371 	 260 	 242 	 246
307372 	 262 	 240 	 242
307373 	 262 	 240 	 246
307374 	 258 	 238 	 1412
307375 	 262 	 240 	 246
307376 	 258 	 238 	 244
307377 	 258 	 238 	 246
307378 	 260 	 238 	 250
307379 	 264 	 240 	 244
307380 	 264 	 238 	 242
307381 	 264 	 240 	 244
307382 	 262 	 242 	 248
307383 	 262 	 236 	 244
307384 	 258 	 240 	 246
307385 	 1302 	 244 	 244
307386 	 264 	 240 	 248
307387 	 260 	 242 	 244
307388 	 260 	 240 	 246
307389 	 260 	 242 	 244
307390 	 258 	 240 	 246
307391 	 264 	 238 	 246
307392 	 260 	 238 	 242
307393 	 258 	 242 	 246
307394 	 260 	 242 	 244
307395 	 262 	 242 	 246
307396 	 472 	 240 	 246
307397 	 260 	 236 	 242
307398 	 262 	 240 	 244
307399 	 260 	 236 	 244
307400 	 262 	 244 	 248
307401 	 264 	 242 	 246
307402 	 266 	 236 	 246
307403 	 72 	 264 	 244
307404 	 72 	 74 	 268
307405 	 262 	 76 	 268
307406 	 266 	 74 	 1458
307407 	 260 	 242 	 244
307408 	 262 	 242 	 244
307409 	 262 	 238 	 246
307410 	 262 	 240 	 244
307411 	 260 	 238 	 242
307412 	 258 	 238 	 242
307413 	 264 	 240 	 242
307414 	 264 	 240 	 246
307415 	 258 	 240 	 244
307416 	 262 	 238 	 246
307417 	 1182 	 240 	 244
307418 	 264 	 240 	 248
307419 	 260 	 240 	 244
307420 	 260 	 240 	 244
307421 	 262 	 244 	 242
307422 	 260 	 236 	 248
307423 	 262 	 238 	 244
307424 	 264 	 240 	 246
307425 	 264 	 240 	 244
307426 	 264 	 244 	 246
307427 	 266 	 242 	 248
307428 	 306 	 240 	 246
307429 	 260 	 242 	 246
307430 	 260 	 238 	 248
307431 	 258 	 244 	 240
307432 	 262 	 236 	 246
307433 	 262 	 242 	 246
307434 	 262 	 240 	 248
307435 	 260 	 238 	 242
307436 	 264 	 240 	 246
307437 	 260 	 236 	 244
307438 	 262 	 240 	 1398
307439 	 262 	 238 	 240
307440 	 256 	 242 	 244
307441 	 260 	 240 	 240
307442 	 262 	 240 	 242
307443 	 262 	 240 	 248
307444 	 260 	 240 	 246
307445 	 260 	 236 	 248
307446 	 262 	 242 	 250
307447 	 258 	 244 	 244
307448 	 266 	 236 	 250
307449 	 1146 	 240 	 244
307450 	 264 	 240 	 244
307451 	 262 	 240 	 242
307452 	 260 	 240 	 244
307453 	 258 	 240 	 242
307454 	 264 	 240 	 246
307455 	 260 	 240 	 242
307456 	 258 	 236 	 244
307457 	 264 	 242 	 244
307458 	 260 	 236 	 244
307459 	 262 	 242 	 244
307460 	 262 	 242 	 246
307461 	 258 	 238 	 242
307462 	 262 	 244 	 246
307463 	 264 	 240 	 244
307464 	 264 	 238 	 244
307465 	 260 	 240 	 242
307466 	 260 	 242 	 246
307467 	 266 	 242 	 242
307468 	 264 	 248 	 248
307469 	 262 	 242 	 248
307470 	 258 	 1430 	 246
307471 	 238 	 242 	 244
307472 	 264 	 240 	 240
307473 	 262 	 242 	 242
307474 	 260 	 238 	 244
307475 	 262 	 240 	 242
307476 	 262 	 240 	 246
307477 	 262 	 244 	 248
307478 	 262 	 242 	 246
307479 	 264 	 246 	 246
307480 	 260 	 240 	 246
307481 	 72 	 1022 	 244
307482 	 74 	 74 	 264
307483 	 264 	 74 	 264
307484 	 262 	 76 	 266
307485 	 264 	 74 	 266
307486 	 244 	 238 	 244
307487 	 262 	 236 	 244
307488 	 264 	 244 	 244
307489 	 262 	 242 	 244
307490 	 260 	 242 	 244
307491 	 260 	 240 	 246
307492 	 258 	 242 	 242
307493 	 260 	 240 	 244
307494 	 258 	 238 	 242
307495 	 264 	 238 	 246
307496 	 262 	 240 	 246
307497 	 260 	 240 	 242
307498 	 264 	 240 	 244
307499 	 260 	 238 	 244
307500 	 266 	 242 	 244
307501 	 266 	 238 	 244
307502 	 262 	 1412 	 244
307503 	 262 	 240 	 244
307504 	 262 	 240 	 244
307505 	 262 	 238 	 246
307506 	 264 	 238 	 244
307507 	 258 	 238 	 248
307508 	 260 	 238 	 246
307509 	 262 	 242 	 246
307510 	 260 	 240 	 248
307511 	 264 	 240 	 246
307512 	 260 	 244 	 246
307513 	 874 	 238 	 240
307514 	 260 	 240 	 244
307515 	 262 	 244 	 244
307516 	 266 	 240 	 246
307517 	 258 	 242 	 246
307518 	 262 	 242 	 244
307519 	 262 	 240 	 248
307520 	 266 	 240 	 244
307521 	 264 	 244 	 246
307522 	 262 	 244 	 248
307523 	 262 	 242 	 248
307524 	 258 	 240 	 246
307525 	 260 	 240 	 244
307526 	 258 	 238 	 242
307527 	 260 	 240 	 246
307528 	 264 	 240 	 242
307529 	 264 	 238 	 246
307530 	 264 	 242 	 242
307531 	 258 	 238 	 246
307532 	 264 	 238 	 244
307533 	 262 	 242 	 246
307534 	 262 	 1412 	 244
307535 	 262 	 240 	 246
307536 	 260 	 238 	 242
307537 	 262 	 238 	 244
307538 	 262 	 242 	 244
307539 	 262 	 238 	 244
307540 	 260 	 242 	 242
307541 	 262 	 240 	 246
307542 	 260 	 242 	 244
307543 	 260 	 236 	 244
307544 	 264 	 240 	 246
307545 	 790 	 240 	 244
307546 	 258 	 240 	 240
307547 	 262 	 238 	 246
307548 	 264 	 238 	 246
307549 	 262 	 236 	 246
307550 	 258 	 242 	 246
307551 	 256 	 242 	 246
307552 	 258 	 240 	 242
307553 	 262 	 236 	 244
307554 	 262 	 244 	 246
307555 	 266 	 244 	 244
307556 	 262 	 240 	 244
307557 	 260 	 238 	 248
307558 	 238 	 244 	 244
307559 	 260 	 238 	 242
307560 	 70 	 260 	 244
307561 	 266 	 76 	 268
307562 	 266 	 74 	 268
307563 	 264 	 74 	 268
307564 	 262 	 70 	 80
307565 	 262 	 74 	 266
307566 	 260 	 72 	 1166
307567 	 262 	 238 	 244
307568 	 242 	 244 	 246
307569 	 260 	 242 	 246
307570 	 266 	 242 	 244
307571 	 260 	 238 	 242
307572 	 264 	 240 	 242
307573 	 260 	 242 	 244
307574 	 266 	 240 	 246
307575 	 262 	 242 	 248
307576 	 258 	 236 	 248
307577 	 704 	 244 	 246
307578 	 260 	 238 	 246
307579 	 266 	 238 	 246
307580 	 264 	 240 	 246
307581 	 262 	 240 	 248
307582 	 260 	 244 	 244
307583 	 262 	 240 	 244
307584 	 262 	 238 	 242
307585 	 262 	 238 	 242
307586 	 260 	 238 	 244
307587 	 264 	 238 	 246
307588 	 260 	 242 	 244
307589 	 264 	 240 	 246
307590 	 260 	 242 	 244
307591 	 258 	 238 	 240
307592 	 258 	 242 	 242
307593 	 262 	 238 	 244
307594 	 264 	 242 	 244
307595 	 264 	 240 	 246
307596 	 260 	 246 	 246
307597 	 258 	 240 	 244
307598 	 1414 	 240 	 246
307599 	 262 	 242 	 248
307600 	 262 	 240 	 246
307601 	 264 	 246 	 246
307602 	 264 	 242 	 246
307603 	 260 	 240 	 246
307604 	 264 	 240 	 246
307605 	 264 	 240 	 248
307606 	 262 	 244 	 244
307607 	 262 	 242 	 244
307608 	 262 	 238 	 242
307609 	 580 	 240 	 246
307610 	 260 	 238 	 244
307611 	 260 	 242 	 246
307612 	 262 	 238 	 244
307613 	 264 	 242 	 246
307614 	 260 	 242 	 250
307615 	 262 	 236 	 244
307616 	 262 	 246 	 248
307617 	 264 	 244 	 246
307618 	 264 	 242 	 248
307619 	 264 	 242 	 1446
307620 	 236 	 240 	 244
307621 	 258 	 240 	 244
307622 	 264 	 238 	 246
307623 	 258 	 238 	 246
307624 	 262 	 242 	 244
307625 	 262 	 240 	 246
307626 	 262 	 242 	 244
307627 	 264 	 240 	 246
307628 	 260 	 242 	 244
307629 	 258 	 244 	 244
307630 	 1326 	 240 	 244
307631 	 260 	 242 	 244
307632 	 260 	 238 	 246
307633 	 256 	 240 	 242
307634 	 258 	 242 	 240
307635 	 258 	 242 	 240
307636 	 260 	 240 	 242
307637 	 264 	 238 	 244
307638 	 262 	 236 	 248
307639 	 266 	 240 	 244
307640 	 262 	 242 	 242
307641 	 502 	 242 	 240
307642 	 76 	 74 	 266
307643 	 262 	 74 	 266
307644 	 256 	 72 	 266
307645 	 264 	 72 	 268
307646 	 266 	 74 	 270
307647 	 260 	 78 	 270
307648 	 266 	 74 	 268
307649 	 262 	 240 	 246
307650 	 258 	 240 	 248
307651 	 266 	 242 	 1398
307652 	 260 	 240 	 244
307653 	 258 	 238 	 244
307654 	 260 	 240 	 242
307655 	 262 	 242 	 244
307656 	 264 	 242 	 248
307657 	 264 	 244 	 250
307658 	 262 	 242 	 242
307659 	 262 	 240 	 250
307660 	 262 	 240 	 246
307661 	 266 	 242 	 242
307662 	 1250 	 238 	 250
307663 	 262 	 244 	 244
307664 	 262 	 242 	 244
307665 	 266 	 238 	 242
307666 	 262 	 238 	 246
307667 	 260 	 240 	 244
307668 	 260 	 240 	 242
307669 	 260 	 238 	 244
307670 	 262 	 238 	 246
307671 	 266 	 238 	 246
307672 	 260 	 238 	 246
307673 	 378 	 240 	 248
307674 	 260 	 238 	 242
307675 	 260 	 238 	 246
307676 	 264 	 238 	 244
307677 	 258 	 242 	 246
307678 	 266 	 242 	 246
307679 	 264 	 240 	 250
307680 	 262 	 240 	 244
307681 	 262 	 240 	 246
307682 	 262 	 238 	 248
307683 	 258 	 242 	 1402
307684 	 260 	 240 	 240
307685 	 260 	 238 	 250
307686 	 258 	 242 	 246
307687 	 260 	 244 	 244
307688 	 268 	 242 	 244
307689 	 258 	 240 	 242
307690 	 258 	 238 	 242
307691 	 262 	 240 	 244
307692 	 258 	 238 	 240
307693 	 262 	 242 	 244
307694 	 1136 	 240 	 242
307695 	 264 	 240 	 246
307696 	 260 	 242 	 244
307697 	 260 	 240 	 246
307698 	 266 	 244 	 250
307699 	 258 	 238 	 242
307700 	 262 	 238 	 244
307701 	 258 	 238 	 242
307702 	 264 	 242 	 244
307703 	 262 	 240 	 246
307704 	 258 	 242 	 246
307705 	 288 	 242 	 242
307706 	 260 	 238 	 244
307707 	 258 	 240 	 246
307708 	 262 	 238 	 246
307709 	 264 	 238 	 244
307710 	 262 	 236 	 246
307711 	 262 	 242 	 246
307712 	 262 	 238 	 244
307713 	 262 	 242 	 246
307714 	 264 	 240 	 242
307715 	 264 	 242 	 1394
307716 	 260 	 242 	 248
307717 	 258 	 242 	 242
307718 	 260 	 244 	 244
307719 	 260 	 242 	 240
307720 	 260 	 240 	 242
307721 	 262 	 244 	 244
307722 	 262 	 240 	 244
307723 	 70 	 132 	 248
307724 	 260 	 70 	 266
307725 	 260 	 74 	 266
307726 	 1018 	 76 	 78
307727 	 258 	 74 	 266
307728 	 266 	 72 	 270
307729 	 260 	 70 	 266
307730 	 260 	 236 	 246
307731 	 240 	 240 	 242
307732 	 260 	 236 	 244
307733 	 258 	 242 	 246
307734 	 262 	 240 	 248
307735 	 260 	 240 	 246
307736 	 268 	 240 	 242
307737 	 258 	 238 	 244
307738 	 260 	 242 	 248
307739 	 264 	 240 	 246
307740 	 260 	 240 	 248
307741 	 262 	 240 	 244
307742 	 258 	 240 	 242
307743 	 262 	 244 	 246
307744 	 264 	 242 	 244
307745 	 262 	 236 	 244
307746 	 264 	 238 	 248
307747 	 256 	 1410 	 244
307748 	 260 	 242 	 248
307749 	 264 	 242 	 244
307750 	 264 	 240 	 248
307751 	 264 	 240 	 248
307752 	 262 	 244 	 246
307753 	 258 	 240 	 246
307754 	 262 	 240 	 244
307755 	 260 	 236 	 246
307756 	 262 	 238 	 248
307757 	 262 	 244 	 244
307758 	 932 	 238 	 248
307759 	 260 	 234 	 244
307760 	 260 	 240 	 248
307761 	 266 	 238 	 246
307762 	 264 	 242 	 246
307763 	 260 	 240 	 246
307764 	 260 	 242 	 246
307765 	 260 	 238 	 246
307766 	 260 	 242 	 242
307767 	 260 	 240 	 246
307768 	 258 	 240 	 242
307769 	 264 	 238 	 242
307770 	 264 	 240 	 244
307771 	 260 	 242 	 246
307772 	 262 	 240 	 246
307773 	 262 	 238 	 248
307774 	 260 	 238 	 244
307775 	 264 	 238 	 246
307776 	 262 	 240 	 242
307777 	 260 	 236 	 246
307778 	 266 	 244 	 248
307779 	 264 	 1418 	 240
307780 	 262 	 240 	 244
307781 	 264 	 242 	 246
307782 	 262 	 236 	 246
307783 	 262 	 240 	 248
307784 	 268 	 242 	 246
307785 	 262 	 242 	 248
307786 	 262 	 242 	 246
307787 	 260 	 236 	 244
307788 	 260 	 242 	 246
307789 	 262 	 242 	 248
307790 	 852 	 238 	 242
307791 	 256 	 238 	 244
307792 	 258 	 242 	 246
307793 	 264 	 240 	 244
307794 	 264 	 242 	 248
307795 	 256 	 244 	 242
307796 	 260 	 238 	 244
307797 	 258 	 240 	 242
307798 	 262 	 242 	 246
307799 	 262 	 238 	 244
307800 	 262 	 238 	 246
307801 	 260 	 242 	 242
307802 	 262 	 240 	 246
307803 	 258 	 240 	 244
307804 	 72 	 262 	 244
307805 	 260 	 76 	 266
307806 	 262 	 72 	 268
307807 	 262 	 74 	 266
307808 	 262 	 236 	 248
307809 	 262 	 240 	 246
307810 	 264 	 238 	 248
307811 	 258 	 1414 	 246
307812 	 262 	 238 	 246
307813 	 260 	 238 	 248
307814 	 262 	 238 	 248
307815 	 264 	 242 	 242
307816 	 262 	 238 	 246
307817 	 260 	 240 	 244
307818 	 262 	 238 	 246
307819 	 258 	 242 	 246
307820 	 262 	 242 	 244
307821 	 262 	 242 	 248
307822 	 702 	 240 	 244
307823 	 262 	 244 	 246
307824 	 262 	 242 	 246
307825 	 262 	 242 	 242
307826 	 264 	 238 	 246
307827 	 260 	 242 	 246
307828 	 258 	 242 	 246
307829 	 260 	 240 	 242
307830 	 262 	 242 	 248
307831 	 264 	 238 	 244
307832 	 260 	 238 	 244
307833 	 260 	 244 	 246
307834 	 262 	 240 	 248
307835 	 260 	 238 	 244
307836 	 258 	 242 	 248
307837 	 262 	 238 	 240
307838 	 262 	 240 	 244
307839 	 260 	 240 	 246
307840 	 260 	 238 	 248
307841 	 260 	 240 	 246
307842 	 262 	 238 	 246
307843 	 264 	 1410 	 246
307844 	 262 	 240 	 244
307845 	 260 	 238 	 246
307846 	 262 	 238 	 244
307847 	 262 	 236 	 248
307848 	 264 	 242 	 244
307849 	 258 	 238 	 244
307850 	 260 	 242 	 244
307851 	 264 	 240 	 244
307852 	 262 	 244 	 244
307853 	 260 	 238 	 244
307854 	 594 	 240 	 246
307855 	 258 	 240 	 246
307856 	 262 	 242 	 242
307857 	 258 	 242 	 244
307858 	 260 	 238 	 246
307859 	 266 	 238 	 244
307860 	 264 	 236 	 244
307861 	 262 	 242 	 242
307862 	 262 	 242 	 248
307863 	 258 	 236 	 246
307864 	 262 	 240 	 1396
307865 	 258 	 238 	 242
307866 	 262 	 240 	 244
307867 	 258 	 242 	 244
307868 	 264 	 242 	 246
307869 	 264 	 242 	 248
307870 	 260 	 240 	 246
307871 	 262 	 238 	 246
307872 	 260 	 236 	 244
307873 	 262 	 238 	 246
307874 	 260 	 240 	 244
307875 	 1418 	 240 	 248
307876 	 264 	 244 	 244
307877 	 258 	 240 	 242
307878 	 262 	 240 	 240
307879 	 262 	 238 	 246
307880 	 258 	 238 	 246
307881 	 258 	 236 	 250
307882 	 72 	 266 	 216
307883 	 262 	 72 	 268
307884 	 260 	 70 	 268
307885 	 260 	 70 	 264
307886 	 512 	 72 	 78
307887 	 260 	 74 	 266
307888 	 264 	 76 	 268
307889 	 264 	 238 	 246
307890 	 260 	 244 	 240
307891 	 258 	 240 	 240
307892 	 262 	 238 	 242
307893 	 262 	 238 	 244
307894 	 258 	 242 	 242
307895 	 262 	 238 	 242
307896 	 258 	 242 	 1396
307897 	 262 	 240 	 246
307898 	 260 	 238 	 248
307899 	 258 	 242 	 242
307900 	 262 	 238 	 242
307901 	 260 	 244 	 244
307902 	 260 	 238 	 248
307903 	 266 	 238 	 244
307904 	 268 	 240 	 244
307905 	 264 	 244 	 244
307906 	 260 	 242 	 244
307907 	 1252 	 240 	 248
307908 	 264 	 244 	 248
307909 	 264 	 240 	 246
307910 	 262 	 246 	 248
307911 	 260 	 242 	 246
307912 	 262 	 238 	 248
307913 	 266 	 244 	 246
307914 	 264 	 240 	 248
307915 	 262 	 240 	 244
307916 	 262 	 244 	 250
307917 	 260 	 242 	 244
307918 	 418 	 242 	 246
307919 	 264 	 244 	 244
307920 	 262 	 242 	 250
307921 	 262 	 240 	 242
307922 	 264 	 238 	 242
307923 	 262 	 242 	 244
307924 	 262 	 240 	 244
307925 	 262 	 240 	 246
307926 	 258 	 242 	 248
307927 	 258 	 240 	 242
307928 	 262 	 242 	 1396
307929 	 260 	 238 	 250
307930 	 258 	 242 	 242
307931 	 260 	 242 	 246
307932 	 258 	 242 	 244
307933 	 260 	 242 	 240
307934 	 258 	 240 	 242
307935 	 260 	 240 	 244
307936 	 264 	 238 	 242
307937 	 264 	 238 	 244
307938 	 260 	 244 	 246
307939 	 1126 	 240 	 248
307940 	 264 	 238 	 248
307941 	 264 	 238 	 246
307942 	 260 	 244 	 244
307943 	 264 	 240 	 246
307944 	 260 	 238 	 246
307945 	 262 	 238 	 248
307946 	 258 	 246 	 246
307947 	 264 	 240 	 246
307948 	 260 	 238 	 242
307949 	 264 	 242 	 248
307950 	 258 	 242 	 246
307951 	 262 	 240 	 242
307952 	 262 	 240 	 246
307953 	 264 	 240 	 248
307954 	 262 	 240 	 246
307955 	 258 	 238 	 246
307956 	 258 	 238 	 246
307957 	 262 	 238 	 244
307958 	 264 	 242 	 248
307959 	 264 	 240 	 244
307960 	 260 	 242 	 1400
307961 	 262 	 242 	 246
307962 	 264 	 242 	 248
307963 	 72 	 264 	 194
307964 	 260 	 72 	 266
307965 	 266 	 74 	 264
307966 	 262 	 72 	 268
307967 	 262 	 238 	 248
307968 	 264 	 240 	 244
307969 	 260 	 242 	 244
307970 	 264 	 238 	 244
307971 	 1068 	 236 	 246
307972 	 260 	 242 	 246
307973 	 264 	 238 	 246
307974 	 262 	 238 	 244
307975 	 260 	 238 	 246
307976 	 260 	 240 	 244
307977 	 262 	 244 	 246
307978 	 264 	 242 	 246
307979 	 260 	 246 	 244
307980 	 260 	 244 	 244
307981 	 256 	 240 	 242
307982 	 262 	 236 	 246
307983 	 260 	 242 	 244
307984 	 260 	 238 	 240
307985 	 258 	 242 	 242
307986 	 262 	 238 	 246
307987 	 260 	 242 	 242
307988 	 262 	 238 	 246
307989 	 262 	 238 	 246
307990 	 262 	 240 	 246
307991 	 262 	 244 	 246
307992 	 260 	 1392 	 250
307993 	 258 	 240 	 246
307994 	 264 	 244 	 248
307995 	 266 	 242 	 244
307996 	 260 	 240 	 246
307997 	 262 	 238 	 246
307998 	 262 	 238 	 240
307999 	 260 	 242 	 244
308000 	 258 	 238 	 248
308001 	 260 	 240 	 248
308002 	 264 	 240 	 242
308003 	 974 	 240 	 248
308004 	 264 	 240 	 244
308005 	 260 	 240 	 246
308006 	 264 	 236 	 246
308007 	 260 	 242 	 248
308008 	 262 	 240 	 242
308009 	 264 	 242 	 244
308010 	 266 	 240 	 244
308011 	 258 	 242 	 248
308012 	 262 	 240 	 246
308013 	 266 	 242 	 244
308014 	 260 	 242 	 246
308015 	 262 	 240 	 242
308016 	 262 	 240 	 244
308017 	 262 	 238 	 242
308018 	 260 	 242 	 246
308019 	 260 	 240 	 242
308020 	 262 	 244 	 246
308021 	 262 	 238 	 244
308022 	 260 	 236 	 244
308023 	 260 	 238 	 248
308024 	 260 	 1412 	 246
308025 	 260 	 238 	 244
308026 	 262 	 238 	 246
308027 	 264 	 240 	 242
308028 	 258 	 240 	 244
308029 	 262 	 240 	 248
308030 	 264 	 242 	 248
308031 	 258 	 240 	 244
308032 	 260 	 240 	 244
308033 	 260 	 240 	 244
308034 	 260 	 240 	 246
308035 	 816 	 242 	 244
308036 	 262 	 244 	 248
308037 	 260 	 242 	 242
308038 	 258 	 238 	 244
308039 	 262 	 240 	 246
308040 	 262 	 246 	 246
308041 	 72 	 74 	 264
308042 	 264 	 76 	 270
308043 	 264 	 74 	 268
308044 	 264 	 236 	 248
308045 	 264 	 242 	 246
308046 	 262 	 242 	 244
308047 	 260 	 240 	 248
308048 	 262 	 242 	 246
308049 	 260 	 240 	 250
308050 	 262 	 242 	 246
308051 	 264 	 238 	 242
308052 	 262 	 238 	 244
308053 	 262 	 240 	 242
308054 	 262 	 238 	 248
308055 	 262 	 242 	 248
308056 	 262 	 1410 	 248
308057 	 258 	 240 	 244
308058 	 260 	 242 	 244
308059 	 264 	 236 	 242
308060 	 262 	 240 	 244
308061 	 260 	 242 	 242
308062 	 258 	 240 	 246
308063 	 260 	 242 	 244
308064 	 260 	 240 	 244
308065 	 260 	 238 	 242
308066 	 260 	 238 	 248
308067 	 722 	 244 	 248
308068 	 264 	 238 	 244
308069 	 260 	 242 	 242
308070 	 260 	 242 	 246
308071 	 264 	 240 	 244
308072 	 264 	 242 	 244
308073 	 258 	 242 	 242
308074 	 264 	 240 	 242
308075 	 258 	 238 	 242
308076 	 262 	 240 	 246
308077 	 262 	 240 	 246
308078 	 262 	 240 	 244
308079 	 262 	 240 	 250
308080 	 260 	 242 	 248
308081 	 266 	 242 	 246
308082 	 262 	 240 	 246
308083 	 264 	 244 	 250
308084 	 264 	 236 	 244
308085 	 262 	 246 	 244
308086 	 262 	 242 	 248
308087 	 266 	 242 	 246
308088 	 264 	 1414 	 244
308089 	 240 	 242 	 246
308090 	 262 	 242 	 244
308091 	 262 	 240 	 244
308092 	 260 	 240 	 244
308093 	 260 	 238 	 240
308094 	 258 	 234 	 244
308095 	 262 	 242 	 242
308096 	 268 	 242 	 246
308097 	 262 	 240 	 244
308098 	 262 	 242 	 248
308099 	 652 	 238 	 244
308100 	 258 	 244 	 242
308101 	 258 	 236 	 244
308102 	 260 	 238 	 242
308103 	 264 	 238 	 246
308104 	 260 	 238 	 246
308105 	 262 	 238 	 246
308106 	 264 	 240 	 248
308107 	 258 	 240 	 244
308108 	 264 	 238 	 242
308109 	 258 	 238 	 1620
308110 	 236 	 240 	 244
308111 	 260 	 240 	 244
308112 	 260 	 238 	 248
308113 	 258 	 242 	 242
